"type","order","scientificName","scientificNameAuthorship","bodylength","accuracy","maximum.speed.bodylength","mean.speed.bodylength","speed.CV","moving.duration.mean","moving.duration.CV","stopped.duration.mean","stopped.duration.CV","proportion.time.moving","straightness","sinuosity","E.max","first.minimum.C","first.minimum.delta.s","mimicryReference","mimicryNotes"
"model","Hymenoptera","Formicid1 sp1","",4.74,1.69708626929817,18.7460964587775,10.6705845533356,0.32212087959011,3.30425925925926,0.723799362937605,0.390833333333333,0.512156702824526,0.935552000947895,0.648895019179868,0.455379354609392,196758.398253761,0.366183995300533,22.82,,
"model","Hymenoptera","Froggattella sp1","",3.13333333333333,3.80287366455549,11.9431724808973,6.51786011076953,0.307741101609642,22.457037037037,0.719295760486794,0.0916666666666662,0.310794582572467,0.994644083191785,0.393558697314969,0.829131288861825,135970.899710294,0.0177828246290377,58,,
"model","Hymenoptera","Polyrhachis sp3","",6.47142857142857,1.83431325247373,17.8135001624728,5.38076096100132,0.406303439518302,5.58844155844156,0.948916725361538,0.213148763381322,0.692639017466071,0.957124239575354,0.553722722032784,0.784126729419433,328348.077658286,,,,
"model","Hymenoptera","Rhytidoponera metallica","(Smith, 1858)",4.4,0.956071012501434,5.77413455891387,1.94034016957927,0.32170540197353,0.415929203539823,1.16678935324956,0.49672619047619,2.08362870728805,0.444374409076584,0.495167459443843,0.921818488932268,7177.18012220051,0.0759752789082828,15.5,,
"model","Hymenoptera","Rhytidoponera sp1","",4.3,0.314452169342465,3.5853379256742,2.69846034358555,0.152064217441104,10.6416666666667,1.62498268521173,8.85555555555556,1.66377450469437,0.615421686746988,0.988149282189696,0.0877296211652438,68707.5576664983,0.979205677458653,10.9,,
"mimetic spider","Araneae","Eilica sp1","",3.9,-1.57543604066464,46.6560097358635,32.13305490303,0.415432302534709,1.11904761904762,0.184940364646731,0.0661111111111111,0.394665634171321,0.73279374219132,0.959891844205361,0.198137749793909,420835.41832687,,,"Pekar et al., 2017a",
"mimetic spider","Araneae","Iridonyssus kohouti","(Raven, 2015)",2.8,-1.77899754693629,11.5869659596681,4.97600304190048,0.393524744801878,1.82029909613804,1.00347864040671,0.214070261932564,0.801399236188794,0.899505766062603,0.975735277832188,0.138520150331355,229703.478662214,0.951938589510746,11.4,"Raven, 2015",
"mimetic spider","Araneae","Judalana lutea","(Rix, 1999)",4.5,-0.287810116846183,18.455825071494,6.56946487186801,0.515623669552176,0.922916666666668,1.58865680368679,5.72666666666667,3.00249652487493,0.146688741721854,0.784166987697206,0.411216429867911,174299.034106389,0.680843920335379,4.5,"Ceccarelli, 2010",
"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",4.69411764705882,-1.63118540837498,11.1501440285519,5.94448664759833,0.366495490226473,3.82804895595073,1.01851633042868,0.364134178293606,0.625588675942279,0.862149696847735,0.903422557962631,0.403267306475103,863958.399735805,0.818801050804732,8.61176470588235,"Pekar et al., 2017b",
"mimetic spider","Araneae","Myrmarachne juvenile","",3.55,-0.780797435914697,5.91707192585813,3.09339754655177,0.299820767190272,1.73999852897911,0.893283714467442,2.93624649859944,1.73639534674236,0.543240469061957,0.811401359451926,0.391622193220574,80980.0825672026,0.534904027484247,30.8,"Pekar et al., 2017b",
"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",6.1,-0.604896756921386,9.46233408327429,4.92260551505421,0.434837280981416,3.56666666666667,1.16982657278922,0.129166666666666,0.532377816330668,0.971626652760267,0.910608563630103,0.45071643663843,43525.8619051384,0.828290248618919,5.35,"Pekar et al., 2017b",
"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",4.43333333333333,0.198107212592518,9.38446286585734,4.88969429479467,0.339825952832263,6.0162037037037,0.882362661132434,0.399613526570048,1.03720737793916,0.901299725980659,0.734115332282684,0.31256898411091,45441.0467570315,0.6711405626401,4.6,"Pekar et al., 2017b",
"mimetic spider","Araneae","Rhombonotus gracilis","(Koch L., 1879)",3.075,-1.48952362007021,9.04540634323306,5.1623489245881,0.265614702025392,3.98618055555556,0.81842684400908,0.327116402116402,0.674190460539989,0.932244063037379,0.912474946912501,0.28986674302483,2266661.68588674,0.805948913455206,4.05,"Davies and Zabka, 1989",
"non-mimic","Araneae","Astia hariola","(Koch, 1879)",6.35,-2.77229215263252,26.7235808713841,4.98304939909655,0.85274373008468,0.352497431946585,0.914318715826907,0.79009623095429,2.72739676641819,0.317981612301248,0.893728615035793,0.841047659473043,861415.202106624,0.858841719635832,9.45,,
"non-mimic","Araneae","Badumna insignis","(L. Koch, 1872)",10,-2.90878286995179,35.0855552256161,17.0577762751476,0.809199198478797,0.316666666666667,0.372161463782393,0.566666666666667,0,0.527777777777778,0.99899919141063,0.0269335955857342,63.1138404385874,,,,
"non-mimic","Araneae","Cosmophasis baehrae","(Zabka & Waldock, 2012)",4.55,-0.906235034761772,9.89944006195438,5.03238679680647,0.459023688458954,4.34318996415771,0.739902592812535,3.83722222222222,1.03411112505953,0.526165135329312,0.812329975181256,0.207991023950695,26480.6718408752,,,,
"non-mimic","Araneae","Cosmophasis thalassina","(C.L. Koch, 1846)",3.8,-2.50132789058422,23.3471093577631,7.5659503549041,0.528728431305627,1.05778560782789,0.999198400286741,5.43902453775704,2.35642232818541,0.243120330751162,0.958401910780462,0.238437778536986,1006.31326944378,0.853494129940187,7,,
