"catalogNumber","type","order","scientificName","scientificNameAuthorship","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","locationRemarks","time","day","month","year","bodylength","accuracy","maximum.speed.bodylength","mean.speed.bodylength","speed.CV","moving.duration.mean","moving.duration.CV","stopped.duration.mean","stopped.duration.CV","proportion.time.moving","straightness","sinuosity","E.max","first.minimum.C","first.minimum.delta.s"
967,"model","Hymenoptera","Formicid1 sp1","",-33.7716472222222,151.115127777778,5,44.765625,"MQ campus, Sydney, NSW","11:06",25,7,2017,5.4,-0.0258373823956467,23.996896902201,9.42169969432281,0.409130689700253,2.96666666666667,0,0,0,1,0.686716953440671,0.392811583910713,18236.7521702766,0.403367370757391,4.8
963,"model","Hymenoptera","Formicid1 sp1","",-33.7716472222222,151.115127777778,5,44.765625,"MQ campus, Sydney, NSW","11:06",25,7,2017,4.5,-0.547046985540806,16.7851774775451,10.1754112333796,0.343138656880763,2.68888888888889,1.60341228239641,0.616666666666666,1.3377695860286,0.867383512544803,0.591885058571143,0.655380712855473,36251.6971060863,0.469082017620726,9.8
972,"model","Hymenoptera","Formicid1 sp1","",-33.7716472222222,151.115127777778,5,44.765625,"MQ campus, Sydney, NSW","11:06",25,7,2017,4.4,-1.20818085952105,9.1686402555198,4.01827764889601,0.321551905722786,3.94074074074074,0.994797419003551,0.104166666666667,0.754112534231935,0.97704315886134,0.808936740177784,0.34454862849714,555853.476483324,0.639573491852048,6.4
965,"model","Hymenoptera","Formicid1 sp1","",-33.7716472222222,151.115127777778,5,44.765625,"MQ campus, Sydney, NSW","11:06",25,7,2017,4.7,2.09437402062653,20.8254194611279,12.3831020637776,0.359088691718173,4.625,1.02078711328806,1.23333333333333,0.468901393862094,0.833333333333333,0.190113056049107,0.818963385237035,34996.3273413132,-0.565414933472717,84.4
964,"model","Hymenoptera","Formicid1 sp1","",-33.7716472222222,151.115127777778,5,44.765625,"MQ campus, Sydney, NSW","11:06",25,7,2017,4.7,-2.31402591034436,22.954348197494,17.3544321263019,0.177694453928577,2.3,0,0,0,1,0.966823287660634,0.0651924625466007,338453.738167804,0.884312029745217,8.7
968,"model","Hymenoptera","Froggattella sp1","",-33.7712555555556,151.113188888889,10,45.93646409,"MQ campus, Sydney, NSW","14:42",24,7,2017,3.1,2.17140036155065,11.144895598684,8.44366775052666,0.201117753099586,34.2,0,0,0,1,0.54245849465808,0.765005737303431,28996.1457840837,0.192461082185578,38.6
971,"model","Hymenoptera","Froggattella sp1","",-33.7712555555556,151.113188888889,10,45.93646409,"MQ campus, Sydney, NSW","14:42",24,7,2017,3.2,0.793453112473299,12.2827911161959,5.15291953166852,0.355482204164828,9.02666666666667,1.36743287908264,0.141666666666666,0.225276966530891,0.987600291757841,0.437149918291176,1.24600364138328,71651.398521674,0.198107609765597,19.7
969,"model","Hymenoptera","Froggattella sp1","",-33.7712555555556,151.113188888889,10,45.93646409,"MQ campus, Sydney, NSW","14:42",24,7,2017,3.1,1.54547428250962,12.4018307278121,5.9569930501134,0.366623347564513,24.1444444444444,0.790454402377744,0.133333333333333,0.70710678118651,0.996331957817515,0.201067678995653,0.476384487898764,307265.154825125,-0.337220218064062,115.7
956,"model","Hymenoptera","Polyrhachis sp3","",-33.7970972222222,151.135191666667,5,45.17316017,"Blenheim Park, North Ryde, NSW","09:17",25,7,2017,6.7,-0.0951049333226437,8.77966816086801,5.00101256430454,0.368340766719752,5.71666666666667,0.76240785833344,0.1,0.33333333333333,0.98705035971223,0.66711897925665,0.694919974123495,2047724.27951564,0.330411715914974,11.1
955,"model","Hymenoptera","Polyrhachis sp3","",-33.7970972222222,151.135191666667,5,45.17316017,"Blenheim Park, North Ryde, NSW","09:17",25,7,2017,7.5,0.518959115929523,7.80641403425794,4.36163953964779,0.384847103645127,4.475,0.542019948162448,0.0888888888888892,0.780624749799806,0.983516483516483,0.603249184385227,1.08294130894359,14733.9409599984,0.251989668295705,7.3
957,"model","Hymenoptera","Polyrhachis sp3","",-33.7970972222222,151.135191666667,5,45.17316017,"Blenheim Park, North Ryde, NSW","09:17",25,7,2017,6.4,1.43496602377244,13.836999036796,5.85331913595394,0.358271183925773,4.4,0.967243582001857,0.0933333333333334,0.586845597326956,0.982630272952854,0.486135642326973,0.878439049678018,23008.1443675977,0.109068618639959,6.2
959,"model","Hymenoptera","Polyrhachis sp3","",-33.7970972222222,151.135191666667,5,45.17316017,"Blenheim Park, North Ryde, NSW","09:17",25,7,2017,5.6,0.482069128573849,36.5525054524869,3.77933666676527,0.555140987386761,4.22666666666667,1.39593519313352,0.288888888888888,0.859596024562581,0.942050520059435,0.601177764062139,0.800295048599411,198193.017429135,0.28741455969498,14.6
960,"model","Hymenoptera","Polyrhachis sp3","",-33.7945388888889,151.134447222222,10,50,"North Ryde, NSW","09:30",25,7,2017,6.5,1.11368463558208,37.7879285949885,4.86669231786974,0.621742700570565,2.61742424242424,1.71029084820657,0.52093023255814,2.28807341723982,0.836967054263566,0.0893096120799884,1.05221853278738,9741.66184336889,0.0987790945512091,25
961,"model","Hymenoptera","Polyrhachis sp3","",-33.7945388888889,151.134447222222,10,50,"North Ryde, NSW","09:30",25,7,2017,6.8,-0.766142962648203,9.02806898075187,5.80310157491967,0.299839730931146,11.7,0,0,0,1,0.584503862045153,0.852503376117786,4617.93217410459,,
